Ticker,Short Name,Inception Date,Family Name,Category Name,Legal Type,1 Year Return,1 Year Return Category,1 Year Beating Category,3 Year Return,3 Year Return Category,3 Year Beating Category,5 Year Return,5 Year Return Category,5 Year Beating Category,10 Year Return,10 Year Return Category,10 Year Beating Category,Stock Position,Bond Position,Previous Close,52 Week Low,52 Week High,50 Day Average,Below 50 Day Average,200 Day Average,Below 200 Day Average,Trailing Annual Dividend Rate,NAV Price
THLCX,"Thrivent Large Cap Growth Fund ","1999-10-28","Thrivent Funds","Large Growth","None","-17.124991%","41.699999999999996%","False","6.629160000000001%","22.559999%","False","13.411890000000001%","21.98%","False","13.161890000000001%","15.989999999999998%","False","0.953","0.0","$13.49","$12.16","$18.96","$13.2748","False","$14.1377","True","N/A","N/A"
TILPX,"TIAA-CREF Large-Cap Growth Fund","2009-09-29","TIAA Investments","Large Growth","None","-18.74913%","41.699999999999996%","False","5.52448%","22.559999%","False","12.950529999999999%","21.98%","False","13.254859999999999%","15.989999999999998%","False","0.9994","0.0","$17.64","$15.44","$22.04","$17.2098","False","$17.13875","False","0.0%","N/A"
TIRTX,"TIAA-CREF Large-Cap Growth Reta","2006-03-30","TIAA Investments","Large Growth","None","-18.844060000000002%","41.699999999999996%","False","5.4139%","22.559999%","False","12.799840000000001%","21.98%","False","13.081010000000001%","15.989999999999998%","False","0.9994","0.0","$17.55","$15.36","$21.94","$17.1274","False","$17.0537","False","0.0%","N/A"
TILRX,"TIAA-CREF Large-Cap Growth Reti","2006-03-30","TIAA Investments","Large Growth","None","-18.833059%","41.699999999999996%","False","5.42375%","22.559999%","False","12.82759%","21.98%","False","13.13056%","15.989999999999998%","False","0.9994","0.0","$17.45","$15.26","$21.8","$17.0296","False","$16.94915","False","0.0%","N/A"
TILIX,"TIAA-CREF Large Cap Growth Inde","2002-09-30","TIAA Investments","Large Growth","None","-15.788879999999999%","41.699999999999996%","False","9.039%","22.559999%","False","14.73794%","21.98%","False","14.4565%","15.989999999999998%","False","0.9996","0.0","$39.73","$36.3","$54.08","$39.1662","False","$42.20145","True","94.0%","N/A"
TRIRX,"TIAA-CREF Large Cap Growth Inde","2002-09-30","TIAA Investments","Large Growth","None","14.636%","41.699999999999996%","False","23.21979%","22.559999%","True","19.646919%","21.98%","False","16.680360999999998%","15.989999999999998%","True","0.9999","0.0","$40.1","$36.65","$54.5","$39.5358","False","$42.51735","True","94.0%","N/A"
TLIIX,"TIAA-CREF Quant Large-Cap Growt","2007-11-29","TIAA Investments","Large Growth","None","35.699999999999996%","41.699999999999996%","False","19.319999%","22.559999%","False","16.96%","21.98%","False","0.0%","15.989999999999998%","False","0.9963","0.0","$9.14","$8.86","$19.59","$9.14","False","$15.566617","True","N/A","N/A"
TLGAX,"Timothy Plan Large/Mid Cap Grow","2000-10-04","Timothy Plan","Large Growth","None","-6.25709%","41.699999999999996%","False","9.04885%","22.559999%","False","9.681180000000001%","21.98%","False","9.855070000000001%","15.989999999999998%","False","0.8404","0.0","$10.07","$9.39","$12.39","$9.948","False","$10.34185","True","N/A","N/A"
TLGCX,"Timothy Plan Large/Mid Cap Grow","2004-02-02","Timothy Plan","Large Growth","None","-7.035329999999999%","41.699999999999996%","False","8.22382%","22.559999%","False","8.86039%","21.98%","False","9.0159796%","15.989999999999998%","False","0.8404","0.0","$7.35","$6.87","$9.41","$7.2698","False","$7.75895","True","N/A","N/A"
TSNAX,"Touchstone Sands Capital Select","2010-11-14","Touchstone","Large Growth","None","-46.7433%","41.699999999999996%","False","-5.11587%","22.559999%","False","7.4437299999999995%","21.98%","False","7.996309999999999%","15.989999999999998%","False","0.9901","0.0","$9.48","$7.98","$13.92","$9.2758","False","$9.16415","False","0.0%","N/A"
