Ticker,Short Name,Inception Date,Family Name,Category Name,Legal Type,1 Year Return,1 Year Return Category,1 Year Beating Category,3 Year Return,3 Year Return Category,3 Year Beating Category,5 Year Return,5 Year Return Category,5 Year Beating Category,10 Year Return,10 Year Return Category,10 Year Beating Category,Stock Position,Bond Position,Previous Close,52 Week Low,52 Week High,50 Day Average,Below 50 Day Average,200 Day Average,Below 200 Day Average,Trailing Annual Dividend Rate,NAV Price
TMMAX,"SEI Inst Mgd Tr, Tax-Managed Ma","2007-12-19","SEI","Large Value","None","17.99526%","42.880002%","False","12.12597%","11.93%","True","10.7434995%","12.0699994%","False","11.943690499999999%","10.95%","True","0.9846","0.0","$18.91","$18.33","$21.41","$19.1238","True","$19.55575","True","N/A","N/A"
SEVIX,"SEI Insti Mgd Tr, U.S. Managed ","2007-06-28","SEI","Large Value","None","2.46857%","42.880002%","False","4.85591%","11.93%","False","7.998770500000001%","12.0699994%","False","9.81108%","10.95%","False","0.97360003","0.0","$15.31","$15.0","$18.04","$15.5826","True","$16.1815","True","0.0%","N/A"
SVFFX,"Smead Value Fund - Class I1","2009-12-17","Smead Funds","Large Value","None","2.87074%","42.880002%","False","14.958189999999998%","11.93%","True","14.057339999999998%","12.0699994%","True","13.452539999999999%","10.95%","True","0.921","0.0","$67.68","$58.58","$71.61","$68.473","True","$65.9328","False","N/A","N/A"
SMVLX,"Smead Value Fund Investor Class","2008-01-01","Smead Funds","Large Value","None","2.6095299%","42.880002%","False","14.665339999999999%","11.93%","True","13.759289999999998%","12.0699994%","True","13.15567%","10.95%","True","0.921","0.0","$67.72","$58.51","$71.62","$68.5332","True","$65.9028","False","N/A","N/A"
SSHFX,"Sound Shore Fund - Investor Cla","1985-05-16","Sound Shore","Large Value","None","-10.827259999999999%","42.880002%","False","6.552919999999999%","11.93%","False","6.807119999999999%","12.0699994%","False","9.71163%","10.95%","False","0.9607","0.0","$37.35","$32.36","$41.88","$37.5748","True","$36.802","False","N/A","N/A"
DIA,"SPDR Dow Jones Industrial Avera","1998-01-12","SPDR State Street Global Advisors","Large Value","Exchange Traded Fund","-1.72539%","17.040001%","False","10.81415%","10.5299994%","True","10.0384995%","15.359998999999998%","False","11.17663%","6.550000000000001%","True","0.9994","0.0","$330.44","$286.62","$354.88","$335.2872","True","$323.818","False","562.0%","$334.26"
SPYV,"SPDR Series Trust SPDR Portfoli","2000-09-24","SPDR State Street Global Advisors","Large Value","Exchange Traded Fund","1.44935%","17.040001%","False","12.23135%","10.5299994%","True","8.68284%","15.359998999999998%","False","10.326730000000001%","6.550000000000001%","True","0.9994","0.0","$40.49","$34.17","$42.98","$40.6166","True","$38.7704","False","83.0%","$41.13"
VLU,"SPDR S&P 1500 Value Tilt ETF","2012-10-23","SPDR State Street Global Advisors","Large Value","Exchange Traded Fund","-2.70163%","17.040001%","False","15.55416%","10.5299994%","True","10.140649999999999%","15.359998999999998%","False","11.59999%","6.550000000000001%","True","0.9995","0.0","$144.02","$125.88","$158.19","$144.7202","True","$140.8293","False","N/A","$146.1"
BBTGX,"Sterling Capital Behavioral Lar","1992-10-08","Sterling Capital Funds","Large Value","None","-6.51099%","42.880002%","False","6.211040000000001%","11.93%","False","7.237259999999999%","12.0699994%","False","9.3953304%","10.95%","False","0.9944","0.0","$23.39","$20.19","$25.31","$23.3454","False","$22.64375","False","N/A","N/A"
BCVCX,"Sterling Capital Behavioral Lar","2001-01-31","Sterling Capital Funds","Large Value","None","-7.207920399999999%","42.880002%","False","5.43774%","11.93%","False","6.4407000000000005%","12.0699994%","False","8.581029599999999%","10.95%","False","0.9944","0.0","$22.46","$19.41","$24.29","$22.4216","False","$21.74535","False","N/A","N/A"
